Municipio,Relatorios_Pedagogicos,Relatorios_Formato,Fotos_Turmas,Fotos_Formato,Videos_Historia,Videos_Formato,Publicacoes_EJA,Publicacoes_Formato,Depoimentos,Depoimentos_Formato,PPP_Antigos,PPP_Formato,Registros_Foruns,Foruns_Formato,Outros,Outros_Formato
Alto Do Rodrigues,Nao,,Sim,Virtual,Nao,,Nao,,Nao,,,Sim,Virtual,Nao,
Belém,Sim,,Sim,,Sim,,Sim,,Sim,,Sim,,Nao,
Brejo Grande,Nao,,Sim,Virtual,Nao,,Nao,,Sim,,Sim,,Sim,,Nao,
Cabo de Santo Agostinho,Nao,,Sim,Virtual,Nao,,Nao,,Nao,,Nao,,Nao,,Nao,
Carauari,Nao,,Nao,,Nao,,Nao,,Nao,,Nao,,Nao,,Nao,
Caucaia,, ,Sim,Virtual,Nao,,Nao,,Nao,,Nao,,Nao,,,
Coari,Sim,,Sim,Virtual,Nao,,Nao,,Nao,,Sim,,Nao,,Nao,
Conde,Nao,,Sim,Virtual,Sim,Virtual,Sim,Virtual,Nao,,Sim,Fisico,Nao,,Sim,Ambos
Fortaleza,Nao,,Sim,Ambos,Nao,,Sim,,NaO,,Sim,,Nao,,,
Icapuí,,, , , , , , , , , , , , ,
Ipojuca,Nao,,Sim,Virtual,Nao,,Nao,,Nao,,Nao,,Sim,Virtual,Nao,
Oiapoque,Nao,,Sim,Ambos,Sim,Ambos,Nao,,Nao,,Sim,Virtual,Nao,,Nao,
Santa Luzia do Inhaty,, , ,Virtual, , , , , , , , , , , 
São Francisco do Conde,Sim,Ambos,Sim,Ambos,Sim,Virtual,Sim,Virtual,Sim,Fisico,Sim,Fisico,Sim,Ambos,,
