Municipio,Atividades_Resgate,Descricao_Atividades,Memoria_Viva,Descricao_Memoria_Viva
Alto Do Rodrigues,Nao,,"Nao",
Belém,Sim,"Organização e publicação do Caderno de Orientações Pedagógicas (2021), incluindo o capítulo 'Contexto Histórico da EJAI'.",Nao,
Brejo Grande,Nao,,"Sim","Professora Vânia"
Cabo de Santo Agostinho,Nao,,"Nao",
Carauari,Nao,,"Nao",
Caucaia,Nao,,"Nao",
Coari,Nao,,"Nao",
Conde,Nao,,"Nao",
Fortaleza,Nao,,"Nao",
Icapuí,Nao,,"Nao",
Ipojuca,Nao,,"Nao",
Oiapoque,Nao,,"Nao",
Santa Luzia do Inhaty,Sim,"Escolas iniciaram trabalhos sobre práticas cotidianas dos alunos da EJA.",Nao,
São Francisco do Conde,Sim,"Projeto 'História de Mestres' com fotos e depoimentos, incluindo livro-memória.","Sim","Joselice Gonçalves (Dona Joca); Profª Sônia Borges; Profª Denise Primo; Profª Jossilene Costa"
