Municipio,Zona,Quantidade,Motivo
Cabo de Santo Agostinho,Urbana,0,
Cabo de Santo Agostinho,Rural,0,

Conde,Urbana,0,0
Conde,Rural,0,0

São Francisco do Conde,Urbana,1,"A escola Navarro de Brito não recebeu professor regente pelo REDA; carência também no turno diurno; busca ativa tardia; turma não formada."
São Francisco do Conde,Rural,0,

Coari,Urbana,0,
Coari,Rural,0,

Fortaleza,Urbana,0,
Fortaleza,Rural,0,

Santa Luzia do Itanhy,Urbana,2,"Falta de alunos para formar turma."
Santa Luzia do Itanhy,Rural,1,"Passou a ofertar ensino integral."

Alto do Rodrigues,Urbana,0,
Alto do Rodrigues,Rural,0,

Brejo Grande,Urbana,3,"Ausência de público."
Brejo Grande,Rural,0,"Não houve alteração."

Ipojuca,Urbana,0,
Ipojuca,Rural,0,

Icapuí,Urbana,0,
Icapuí,Rural,0,

Oiapoque,Urbana,0,
Oiapoque,Rural,0,

Belém,Urbana,2,"Falta de busca ativa; falta de professores; falta de barco."
Belém,Rural,0,

Carauari,Urbana,0,
Carauari,Rural,0,"Oferta plena; oferta além do esperado."

Caucaia,Urbana,2,"Não houve demanda suficiente."
Caucaia,Rural,1,
